date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:13	188603/188603	---M-Z	200	added ('OK')	text/html	etag:%222e0bb-5ef3be47b5d89-gzip%22	https://themesbrand.com/velzon/html/default/advance-ui-highlight.html	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/advance-ui-highlight.html	(from https://themesbrand.com/velzon/html/default/index.html)
12:11:14	217420/217420	---M-Z	200	added ('OK')	text/html	etag:%223514c-5ef3be47b5d89-gzip%22	https://themesbrand.com/velzon/html/default/advance-ui-scrollspy.html	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/advance-ui-scrollspy.html	(from https://themesbrand.com/velzon/html/default/index.html)
12:11:15	353703/353703	---M-Z	200	added ('OK')	text/html	etag:%22565a7-5ef3be4839aea-gzip%22	https://themesbrand.com/velzon/html/default/widgets.html	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/widgets.html	(from https://themesbrand.com/velzon/html/default/index.html)
12:11:15	264422/264422	---M-Z	200	added ('OK')	text/html	etag:%22408e6-5ef3be482720a-gzip%22	https://themesbrand.com/velzon/html/default/forms-elements.html	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/forms-elements.html	(from https://themesbrand.com/velzon/html/default/index.html)
12:11:15	217906/217906	---M-Z	200	added ('OK')	text/html	etag:%2235332-5ef3be48281aa-gzip%22	https://themesbrand.com/velzon/html/default/forms-select.html	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/forms-select.html	(from https://themesbrand.com/velzon/html/default/index.html)
12:11:15	291901/291901	---M-Z	200	added ('OK')	text/html	etag:%224743d-5ef3be482626a-gzip%22	https://themesbrand.com/velzon/html/default/forms-checkboxs-radios.html	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/forms-checkboxs-radios.html	(from https://themesbrand.com/velzon/html/default/index.html)
12:11:16	205175/205175	---M-Z	200	added ('OK')	text/html	etag:%2232177-5ef3be48281aa-gzip%22	https://themesbrand.com/velzon/html/default/forms-pickers.html	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/forms-pickers.html	(from https://themesbrand.com/velzon/html/default/index.html)
12:11:16	191757/191757	---M-Z	200	added ('OK')	text/html	etag:%222ed0d-5ef3be48281aa-gzip%22	https://themesbrand.com/velzon/html/default/forms-masks.html	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/forms-masks.html	(from https://themesbrand.com/velzon/html/default/index.html)
12:11:17	208913/208913	---M-Z	200	added ('OK')	text/html	etag:%2233011-5ef3be482626a-gzip%22	https://themesbrand.com/velzon/html/default/forms-advanced.html	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/forms-advanced.html	(from https://themesbrand.com/velzon/html/default/index.html)
12:11:17	212775/212775	---M-Z	200	added ('OK')	text/html	etag:%2233f27-5ef3be48281aa-gzip%22	https://themesbrand.com/velzon/html/default/forms-range-sliders.html	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/forms-range-sliders.html	(from https://themesbrand.com/velzon/html/default/index.html)
12:11:17	221921/221921	---M-Z	200	added ('OK')	text/html	etag:%22362e1-5ef3be482914a-gzip%22	https://themesbrand.com/velzon/html/default/forms-validation.html	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/forms-validation.html	(from https://themesbrand.com/velzon/html/default/index.html)
12:11:18	229257/229257	---M-Z	200	added ('OK')	text/html	etag:%2237f89-5ef3be482914a-gzip%22	https://themesbrand.com/velzon/html/default/forms-wizard.html	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/forms-wizard.html	(from https://themesbrand.com/velzon/html/default/index.html)
12:11:18	189207/189207	---M-Z	200	added ('OK')	text/html	etag:%222e317-5ef3be482626a-gzip%22	https://themesbrand.com/velzon/html/default/forms-editors.html	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/forms-editors.html	(from https://themesbrand.com/velzon/html/default/index.html)
